Customer ID,Recency,Frequency,Monetary,Cluster
CUST001,38,1,150,0
CUST002,308,1,1000,3
CUST003,353,1,30,0
CUST004,225,1,500,3
CUST005,240,1,100,0
CUST006,251,1,30,0
CUST007,294,1,50,0
CUST008,313,1,100,0
CUST009,19,1,600,3
CUST010,86,1,200,0
CUST011,321,1,100,0
CUST012,63,1,75,0
CUST013,149,1,1500,1
CUST014,349,1,120,0
CUST015,350,1,2000,2
CUST016,318,1,1500,1
CUST017,254,1,100,0
CUST018,246,1,50,0
CUST019,107,1,50,0
CUST020,57,1,900,3
CUST021,352,1,500,3
CUST022,78,1,100,0
CUST023,264,1,120,0
CUST024,33,1,300,0
CUST025,6,1,50,0
CUST026,86,1,1000,3
CUST027,151,1,50,0
CUST028,253,1,500,3
CUST029,136,1,30,0
CUST030,64,1,900,3
CUST031,223,1,1200,1
CUST032,362,1,90,0
CUST033,284,1,100,0
CUST034,8,1,150,0
CUST035,149,1,900,3
CUST036,191,1,900,3
CUST037,223,1,75,0
CUST038,286,1,200,0
CUST039,255,1,120,0
CUST040,193,1,50,0
CUST041,313,1,50,0
CUST042,318,1,900,3
CUST043,171,1,300,0
CUST044,316,1,25,0
CUST045,182,1,30,0
CUST046,189,1,1200,1
CUST047,56,1,1500,1
CUST048,230,1,900,3
CUST049,343,1,1000,3
CUST050,130,1,75,0
CUST051,91,1,75,0
CUST052,302,1,300,0
CUST053,172,1,100,0
CUST054,325,1,1500,1
CUST055,83,1,120,0
CUST056,215,1,900,3
CUST057,44,1,30,0
CUST058,49,1,1200,1
CUST059,180,1,50,0
CUST060,70,1,150,0
CUST061,267,1,200,0
CUST062,5,1,100,0
CUST063,330,1,50,0
CUST064,342,1,100,0
CUST065,27,1,2000,2
CUST066,249,1,30,0
CUST067,217,1,1200,1
CUST068,325,1,300,0
CUST069,246,1,75,0
CUST070,314,1,300,0
CUST071,171,1,100,0
CUST072,223,1,2000,2
CUST073,133,1,90,0
CUST074,40,1,2000,2
CUST075,179,1,200,0
CUST076,282,1,100,0
CUST077,176,1,100,0
CUST078,184,1,1500,1
CUST079,258,1,300,0
CUST080,22,1,60,0
CUST081,229,1,50,0
CUST082,6,1,200,0
CUST083,16,1,100,0
CUST084,34,1,90,0
CUST085,329,1,150,0
CUST086,54,1,90,0
CUST087,40,1,100,0
CUST088,278,1,500,3
CUST089,92,1,2000,2
CUST090,240,1,30,0
CUST091,282,1,500,3
CUST092,129,1,120,0
CUST093,171,1,2000,2
CUST094,227,1,1000,3
CUST095,38,1,60,0
CUST096,13,1,600,3
CUST097,80,1,1000,3
CUST098,253,1,100,0
CUST099,15,1,1200,1
CUST100,199,1,30,0
CUST1000,264,1,120,0
CUST101,337,1,600,3
CUST102,248,1,50,0
CUST103,349,1,25,0
CUST104,204,1,1000,3
CUST105,160,1,500,3
CUST106,228,1,50,0
CUST107,332,1,1200,1
CUST108,257,1,75,0
CUST109,75,1,2000,2
CUST110,204,1,900,3
CUST111,257,1,1500,1
CUST112,30,1,1500,1
CUST113,110,1,50,0
CUST114,163,1,100,0
CUST115,36,1,1500,1
CUST116,131,1,30,0
CUST117,292,1,1000,3
CUST118,230,1,2000,2
CUST119,294,1,150,0
CUST120,239,1,50,0
CUST121,78,1,200,0
CUST122,90,1,120,0
CUST123,231,1,60,0
CUST124,66,1,2000,2
CUST125,146,1,100,0
CUST126,67,1,90,0
CUST127,161,1,50,0
CUST128,180,1,500,3
CUST129,253,1,600,3
CUST130,295,1,500,3
CUST131,105,1,600,3
CUST132,113,1,200,0
CUST133,319,1,900,3
CUST134,341,1,50,0
CUST135,309,1,50,0
CUST136,287,1,600,3
CUST137,44,1,1000,3
CUST138,284,1,200,0
CUST139,17,1,2000,2
CUST140,149,1,30,0
CUST141,60,1,50,0
CUST142,333,1,1200,1
CUST143,168,1,50,0
