Customer ID,Recency,Frequency,Monetary
CUST001,38,1,150
CUST002,308,1,1000
CUST003,353,1,30
CUST004,225,1,500
CUST005,240,1,100
CUST006,251,1,30
CUST007,294,1,50
CUST008,313,1,100
CUST009,19,1,600
CUST010,86,1,200
CUST011,321,1,100
CUST012,63,1,75
CUST013,149,1,1500
CUST014,349,1,120
CUST015,350,1,2000
CUST016,318,1,1500
CUST017,254,1,100
CUST018,246,1,50
CUST019,107,1,50
CUST020,57,1,900
CUST021,352,1,500
CUST022,78,1,100
CUST023,264,1,120
CUST024,33,1,300
CUST025,6,1,50
CUST026,86,1,1000
CUST027,151,1,50
CUST028,253,1,500
CUST029,136,1,30
CUST030,64,1,900
CUST031,223,1,1200
CUST032,362,1,90
CUST033,284,1,100
CUST034,8,1,150
CUST035,149,1,900
CUST036,191,1,900
CUST037,223,1,75
CUST038,286,1,200
CUST039,255,1,120
CUST040,193,1,50
CUST041,313,1,50
CUST042,318,1,900
CUST043,171,1,300
CUST044,316,1,25
CUST045,182,1,30
CUST046,189,1,1200
CUST047,56,1,1500
CUST048,230,1,900
CUST049,343,1,1000
CUST050,130,1,75
CUST051,91,1,75
CUST052,302,1,300
CUST053,172,1,100
CUST054,325,1,1500
CUST055,83,1,120
CUST056,215,1,900
CUST057,44,1,30
CUST058,49,1,1200
CUST059,180,1,50
CUST060,70,1,150
CUST061,267,1,200
CUST062,5,1,100
CUST063,330,1,50
CUST064,342,1,100
CUST065,27,1,2000
CUST066,249,1,30
CUST067,217,1,1200
CUST068,325,1,300
CUST069,246,1,75
CUST070,314,1,300
CUST071,171,1,100
CUST072,223,1,2000
CUST073,133,1,90
CUST074,40,1,2000
CUST075,179,1,200
CUST076,282,1,100
CUST077,176,1,100
CUST078,184,1,1500
CUST079,258,1,300
CUST080,22,1,60
CUST081,229,1,50
CUST082,6,1,200
CUST083,16,1,100
CUST084,34,1,90
CUST085,329,1,150
CUST086,54,1,90
CUST087,40,1,100
CUST088,278,1,500
CUST089,92,1,2000
CUST090,240,1,30
CUST091,282,1,500
CUST092,129,1,120
CUST093,171,1,2000
CUST094,227,1,1000
CUST095,38,1,60
CUST096,13,1,600
CUST097,80,1,1000
CUST098,253,1,100
CUST099,15,1,1200
CUST100,199,1,30
CUST1000,264,1,120
CUST101,337,1,600
CUST102,248,1,50
CUST103,349,1,25
CUST104,204,1,1000
CUST105,160,1,500
CUST106,228,1,50
CUST107,332,1,1200
CUST108,257,1,75
CUST109,75,1,2000
CUST110,204,1,900
CUST111,257,1,1500
CUST112,30,1,1500
CUST113,110,1,50
CUST114,163,1,100
CUST115,36,1,1500
CUST116,131,1,30
CUST117,292,1,1000
CUST118,230,1,2000
CUST119,294,1,150
CUST120,239,1,50
CUST121,78,1,200
CUST122,90,1,120
CUST123,231,1,60
CUST124,66,1,2000
CUST125,146,1,100
CUST126,67,1,90
CUST127,161,1,50
CUST128,180,1,500
CUST129,253,1,600
CUST130,295,1,500
CUST131,105,1,600
CUST132,113,1,200
CUST133,319,1,900
CUST134,341,1,50
CUST135,309,1,50
CUST136,287,1,600
CUST137,44,1,1000
CUST138,284,1,200
CUST139,17,1,2000
CUST140,149,1,30
CUST141,60,1,50
CUST142,333,1,1200
CUST143,168,1,50
CUST144,170,1,1500
CUST145,60,1,75
CUST146,126,1,200
CUST147,95,1,300
CUST148,237,1,60
CUST149,82,1,75
CUST150,360,1,120
CUST151,17,1,50
CUST152,307,1,2000
CUST153,16,1,1000
CUST154,91,1,900
CUST155,229,1,2000
CUST156,37,1,100
CUST157,191,1,2000
CUST158,308,1,600
CUST159,215,1,200
CUST160,143,1,100
CUST161,285,1,1000
CUST162,133,1,60
CUST163,364,1,150
CUST164,231,1,1500
CUST165,109,1,1200
CUST166,274,1,2000
CUST167,106,1,150
CUST168,311,1,300
CUST169,45,1,1500
CUST170,213,1,50
CUST171,38,1,900
CUST172,106,1,50
CUST173,54,1,120
CUST174,264,1,300
CUST175,287,1,100
CUST176,174,1,100
CUST177,283,1,100
CUST178,89,1,60
CUST179,94,1,300
CUST180,365,1,900
CUST181,59,1,1200
CUST182,200,1,120
CUST183,115,1,900
CUST184,356,1,200
CUST185,308,1,25
CUST186,180,1,200
CUST187,208,1,100
CUST188,243,1,75
CUST189,336,1,50
CUST190,242,1,90
CUST191,75,1,25
CUST192,325,1,100
CUST193,322,1,1500
CUST194,117,1,200
CUST195,330,1,30
CUST196,93,1,900
CUST197,301,1,200
CUST198,300,1,900
CUST199,28,1,1500
CUST200,122,1,150
CUST201,84,1,25
CUST202,281,1,1200
CUST203,230,1,1000
CUST204,95,1,25
CUST205,55,1,25
CUST206,149,1,25
CUST207,257,1,50
CUST208,89,1,200
CUST209,12,1,200
CUST210,263,1,200
CUST211,0,1,1500
CUST212,206,1,1500
CUST213,161,1,1500
CUST214,22,1,60
CUST215,33,1,1500
CUST216,174,1,100
CUST217,141,1,200
CUST218,101,1,90
CUST219,134,1,90
CUST220,304,1,500
CUST221,239,1,600
CUST222,250,1,120
CUST223,333,1,25
CUST224,192,1,50
CUST225,355,1,100
CUST226,64,1,50
CUST227,82,1,100
CUST228,248,1,60
CUST229,64,1,90
CUST230,253,1,25
CUST231,362,1,150
